slug,theme,title,formula,base,dataset,weight,kind,domain,unit,agencies,headline,headline_order,sex_age_of,edu_emp_of,source
school_attendance,Education,Children living in households where not all 6–15 kids attend school (UNDP),"% of household members living in a household where at least one child aged 6–15 has temporarily left or permanently stopped school (B1 in 10, 11 or 12)",All members of surveyed households; children aged 6–15 who have temporarily left or permanently stopped school,member,hhweight_final,binary,education,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
school_attendance_ages_6_15,Education,"School attendance, ages 6–15 (UNDP)",% of household members aged 6–15 who are currently attending school (B1 in 1–9). Person-level among those with a classifiable current-education answer (B1 in 1–12).,"All children in the surveyed households, who are aged 6–15 with a classifiable current-education answer",member,hhweight_final,binary,education,All children in the surveyed households,UNDP,Yes,2,person,household head,UNDP MPI
preschool_education,Education,Preschool education in the household (UNDP),% of household members living in a household with a five-year-old where that child is not enrolled in organised preschool or daycare,All members of surveyed households in households with at least one child aged 5 and a valid enrolment answer,member,hhweight_final,binary,education,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
youth_neet,Employment,People living in households with a youth NEET (ages 15–29) (UNDP),"% of household members living in a household where at least one young person aged 15–29 is not in education, employment or training",All members of surveyed households,member,hhweight_final,binary,work and employment,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
health_access_unmet_medical_need,Health,Unmet medical need in the past year (UNDP),% of respondents interviewed who needed a medical examination or treatment in the past year and did not receive it on at least one occasion,Respondents interviewed with a valid answer on need for and receipt of care,individual,indweight_m3_final,binary,health,Respondents interviewed,UNDP,Yes,3,respondent,respondent,UNDP MPI
health_service_quality,Health,Unsatisfactory quality of care received (UNDP),% of respondents interviewed who received medical care and said the quality was not always or never satisfactory,Respondents interviewed who received medical care and rated its quality,individual,indweight_m3_final,binary,health,Respondents interviewed,UNDP,Yes,4,respondent,respondent,UNDP MPI
medical_insurance,Health,People living in households where not all members have medical insurance (UNDP),% of household members living in a household where at least one member has no medical insurance,All members of surveyed households,member,hhweight_final,binary,health,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
food_insecurity,Nutrition,Severe food insecurity in the household (hungry and a whole day without eating) (UNDP),"% of household members living in a household where, because of lack of money, someone was hungry but did not eat and someone went a whole day without eating",All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,Yes,2,person,household head,UNDP MPI
unemployment_and_seasonal_occasional_employment,Employment,Household members affected by job insecurity of a household member (UNDP),% of household members living in a household where at least one working-age member (16–64) is unemployed or only seasonally/occasionally employed,All members of surveyed households; working age defined as 16–64 for all sexes,member,hhweight_final,binary,work and employment,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
informal_employment,Employment,People living in households with informal employment (UNDP),% of household members living in a household where at least one employed member has no written contract or no social contributions paid for the job,All members of surveyed households,member,hhweight_final,binary,work and employment,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
child_and_adolescent_labour_proxy,Employment,People living in households where at least one child or adolescent (ages 5–17) performs some economic activity (UNDP),% of household members living in a household where at least one child or adolescent aged 5–17 is engaged in economic activity,"All members of surveyed households; household counted if at least one child or adolescent aged 5–17 is engaged in economic activity (proxy, not a full child-labour module)",member,hhweight_final,binary,work and employment,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
access_to_drinking_water,Housing / WASH,No piped drinking water inside the dwelling (UNDP),% of household members living in a household whose main drinking water is not piped inside the dwelling,All members of surveyed households; don't know and refused on water source excluded,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
access_to_basic_sanitation_public_sewerage,Housing / WASH,Not connected to public sewerage (UNDP),% of household members living in a household not connected to the public sewerage network,All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
indoor_toilet_companion,Housing / WASH,No toilet inside the dwelling (UNDP),% of household members living in a household with no toilet inside the dwelling,All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,Yes,4,person,household head,UNDP MPI
ability_to_keep_home_adequately_warm,Housing / WASH,Cannot afford to keep the home adequately warm (UNDP),% of household members living in a household that cannot afford to keep the home adequately warm,All members of surveyed households; don't know and refused excluded,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
garbage_disposal,Housing / WASH,No public garbage collection (UNDP),% of household members living in a household without public garbage collection,All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
overcrowding,Housing / WASH,Overcrowding (less than 9 m² per person) (UNDP),% of household members living in a household with less than 9 m² of living space per person,All members of surveyed households with a valid dwelling size and household size,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,Yes,3,person,household head,UNDP MPI
housing_defects,Housing / WASH,Housing defects (UNDP),"% of household members living in a household with leaking roof, damp walls/floors/foundation, or rot in window frames or floor",All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
internet_access,Housing / WASH,People living in a household with no internet access (UNDP),% of household members living in a household without internet access at home,All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
durables,Housing / WASH,People living in a household with at most one durable good (UNDP),"% of household members living in a household that owns at most one of: washing machine, TV, computer, car, or phone",All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
no_bank_account,Financial / social,"People living in a household with no bank account (UNDP, FRA)",% of household members aged 16+ living in a household with no bank account,All members of surveyed households aged 16+; based on whether anyone in the household has a bank account,member,hhweight_final,binary,living conditions,All members of surveyed households,"UNDP, FRA",,,person,household head,UNDP MPI
household_arrears,Financial / social,People living in a household that is in arrears (UNDP),"% of household members living in a household that was more than once in arrears on housing, utility or related payments",All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
cannot_afford_unexpected_expenses,EU-SILC material and social deprivation,Cannot afford unexpected expenses (UNDP),% of household members living in a household that cannot afford an unexpected required expense,All members of surveyed households; don't know and refused excluded,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP
cannot_afford_a_one_week_holiday,EU-SILC material and social deprivation,Cannot afford a one-week holiday (UNDP),% of household members living in a household that cannot afford a one-week annual holiday away from home,All members of surveyed households; don't know and refused excluded,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP
cannot_afford_a_meal_with_meat_chicken_or_fish_e,EU-SILC material and social deprivation,"Cannot afford a meal with meat, chicken or fish every second day (UNDP)","% of household members living in a household that cannot afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day",All members of surveyed households; don't know and refused excluded,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP
cannot_afford_to_keep_the_home_adequately_warm,EU-SILC material and social deprivation,Cannot afford to keep the home adequately warm (UNDP),% of household members living in a household that cannot afford to keep the home adequately warm,All members of surveyed households; don't know and refused excluded,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP
cannot_afford_to_replace_worn_out_furniture,EU-SILC material and social deprivation,Cannot afford to replace worn-out furniture (UNDP),% of household members living in a household that cannot afford to replace worn-out furniture,All members of surveyed households; don't know and refused excluded,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP
arrears_on_housing_utility_or_hire_purchase_paym,EU-SILC material and social deprivation,"Arrears on housing, utility or hire-purchase payments (UNDP)","% of household members living in a household with arrears on mortgage, rent, utility bills or hire-purchase payments",All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP
cannot_afford_a_car_or_van,EU-SILC material and social deprivation,Cannot afford a car or van (UNDP),% of household members living in a household that cannot afford a car or van,All members of surveyed households; don't know and refused excluded,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP
cannot_afford_to_replace_worn_out_clothes,EU-SILC material and social deprivation,Cannot afford to replace worn-out clothes (UNDP),% of respondents interviewed who cannot afford to replace worn-out clothes,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
cannot_afford_two_pairs_of_properly_fitting_shoe,EU-SILC material and social deprivation,Cannot afford two pairs of properly fitting shoes (UNDP),% of respondents interviewed who cannot afford two pairs of properly fitting shoes,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
cannot_afford_a_small_amount_of_money_for_person,EU-SILC material and social deprivation,Cannot afford a small amount of money for personal spending each week (UNDP),% of respondents interviewed who cannot afford to spend a small amount of money on themselves each week,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
cannot_afford_a_regular_leisure_activity,EU-SILC material and social deprivation,Cannot afford a regular leisure activity (UNDP),% of respondents interviewed who cannot afford a regular leisure activity,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
cannot_afford_to_get_together_with_friends_or_fa,EU-SILC material and social deprivation,Cannot afford to get together with friends or family at least once a month (UNDP),% of respondents interviewed who cannot afford to get together with friends or family for a drink or meal at least once a month,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
cannot_afford_internet_access_at_home_for_person,EU-SILC material and social deprivation,Cannot afford internet access at home for personal use (UNDP),% of respondents interviewed who cannot afford internet access at home for personal use,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
material_and_social_deprivation_lacking_5_or_mor,EU-SILC material and social deprivation,Material and social deprivation (5 or more of 13 items) (UNDP),% of respondents interviewed who cannot afford at least 5 of the 13 Eurostat/EU-SILC material and social deprivation items,Respondents interviewed with a complete 13-item deprivation profile (household and personal items combined),individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
severe_material_and_social_deprivation_lacking_7,EU-SILC material and social deprivation,Severe material and social deprivation (7 or more of 13 items) (UNDP),% of respondents interviewed who cannot afford at least 7 of the 13 Eurostat/EU-SILC material and social deprivation items,Respondents interviewed with a complete 13-item deprivation profile (household and personal items combined),individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,Yes,1,respondent,respondent,UNDP
wb_employed_15_64,Employment,"Employed last week (ILO, ages 15–64) (World Bank)","% of household members aged 15–64 who are employed in the ILO reference-week sense (paid work last week, temporarily absent from a job, or about to start work)",All members of surveyed households aged 15–64 with a classifiable employment status,member,hhweight_final,binary,work and employment,All members of surveyed households,World Bank,,,person,person,World Bank
wb_unemployed_15_64,Employment,"Unemployed, ages 15–64 (World Bank)","% of household members aged 15–64 who are unemployed (ILO: not employed, searched in the last 4 weeks and available, or waiting on a job interview)",All members of surveyed households aged 15–64 with a classifiable employment status,member,hhweight_final,binary,work and employment,All members of surveyed households,World Bank,Yes,2,person,person,World Bank
wb_inactive_15_64,Employment,Inactive (15–64) (World Bank),% of household members aged 15–64 who are economically inactive,All members of surveyed households aged 15–64 with a classifiable employment status,member,hhweight_final,binary,work and employment,All members of surveyed households,World Bank,,,person,person,World Bank
wb_employed_25_64,Employment,Employed (25–64) (World Bank),% of household members aged 25–64 who are employed (paid work),All members of surveyed households aged 25–64 with a classifiable employment status,member,hhweight_final,binary,work and employment,All members of surveyed households,World Bank,,,person,person,World Bank
wb_unemployed_25_64,Employment,Unemployed (25–64) (World Bank),% of household members aged 25–64 who are unemployed,All members of surveyed households aged 25–64 with a classifiable employment status,member,hhweight_final,binary,work and employment,All members of surveyed households,World Bank,,,person,person,World Bank
wb_inactive_25_64,Employment,Inactive (25–64) (World Bank),% of household members aged 25–64 who are economically inactive,All members of surveyed households aged 25–64 with a classifiable employment status,member,hhweight_final,binary,work and employment,All members of surveyed households,World Bank,,,person,person,World Bank
wb_employed_15_24,Employment,Employed (15–24) (World Bank),% of household members aged 15–24 who are employed (paid work),All members of surveyed households aged 15–24 with a classifiable employment status,member,hhweight_final,binary,work and employment,All members of surveyed households,World Bank,,,person,person,World Bank
wb_unemployed_15_24,Employment,Unemployed (15–24) (World Bank),% of household members aged 15–24 who are unemployed,All members of surveyed households aged 15–24 with a classifiable employment status,member,hhweight_final,binary,work and employment,All members of surveyed households,World Bank,,,person,person,World Bank
wb_inactive_in_education_15_24,Employment,Inactive in education (15–24) (World Bank),% of household members aged 15–24 who are inactive and in education,All members of surveyed households aged 15–24,member,hhweight_final,binary,work and employment,All members of surveyed households,World Bank,,,person,person,World Bank
wb_neet_inactive_not_in_education_15_24,Employment,NEET inactive not in education (15–24) (World Bank),% of household members aged 15–24 who are inactive and not in education,All members of surveyed households aged 15–24,member,hhweight_final,binary,work and employment,All members of surveyed households,World Bank,,,person,person,World Bank
wb_neet_15_24,Employment,"NEET, ages 15–24 (World Bank)",% of household members aged 15–24 who are not employed and not enrolled in education or training,All members of surveyed households aged 15–24,member,hhweight_final,binary,work and employment,All members of surveyed households,World Bank,Yes,1,person,person,World Bank
wb_no_medical_insurance,Health,No medical insurance (World Bank),% of household members with no medical insurance,All members of surveyed households with a valid insurance answer,member,hhweight_final,binary,health,All members of surveyed households,World Bank,Yes,1,person,person,World Bank
wb_bad_or_very_bad_self_rated_health,Health,Bad or very bad self-rated health (World Bank),% of household members who rate their health as bad or very bad,All members of surveyed households with a valid self-rated health answer,member,hhweight_final,binary,health,All members of surveyed households,World Bank,Yes,2,person,person,World Bank
wb_overcrowded_persons_per_room_1,Housing,Overcrowded (persons per room >1) (World Bank),% of household members living in dwellings with more than one person per room,All members of surveyed households with rooms information,member,hhweight_final,binary,living conditions,All members of surveyed households,World Bank,,,person,household head,World Bank
wb_severely_overcrowded_persons_per_room_2,Housing,Severely overcrowded (persons per room >2) (World Bank),% of household members living in dwellings with more than two persons per room,All members of surveyed households with rooms information,member,hhweight_final,binary,living conditions,All members of surveyed households,World Bank,,,person,household head,World Bank
wb_hunger_risk_cannot_afford_meat_every_second_d,Nutrition,Hunger risk (cannot afford meat every second day) (World Bank),"% of household members living in a household that cannot afford a meal with meat, chicken or fish every second day",All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,World Bank,,,person,household head,World Bank
wb_severe_hunger_risk_went_to_bed_hungry,Nutrition,Severe hunger in the household (went to bed hungry) (World Bank),% of household members living in a household where someone went to bed hungry because of lack of money for food,All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,World Bank,,,person,household head,World Bank
wb_informal_employment_employed_15_64,Employment,"Informal employment among employed, ages 15–64 (World Bank)","% of household members aged 15–64 who are employed and whose job is informal (no written contract and/or no social contributions, depending on job type)","All members of surveyed households aged 15–64 who are employed, with a classifiable job status",member,hhweight_final,binary,work and employment,All members of surveyed households,World Bank,Yes,3,person,person,World Bank
wb_no_documentation_no_valid_id_or_passport,Documentation,Has identity documentation (ID card or passport) (World Bank),"% of household members who have a valid or expired identity card or passport. No documentation = neither document, or no ID and passport missing. Expired counts as documented.",All members of surveyed households with a classifiable documentation answer (selected-adult weight),member,indweight_m3_final,binary,discrimination,All members of surveyed households,World Bank,Yes,7,person,person,World Bank
wb_past_year_discrimination_ethnicity_skin_colou,Discrimination,Discriminated against in the past year because of ethnicity or skin colour (ethnic ground) (World Bank),"% of respondents interviewed who say they were discriminated against in the past year because of ethnicity, skin colour or language (ethnic ground; any situation; not domain-specific). Roma and non-Roma can both score this.",Respondents interviewed who answered yes or no on this ground,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,World Bank,Yes,1,respondent,respondent,World Bank
wb_past_year_discrimination_gender,Discrimination,Discriminated against in the past year because of gender (World Bank),% of respondents interviewed who say they were discriminated against in the past year because of gender,Respondents interviewed who answered yes or no on this ground,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,World Bank,,,respondent,respondent,World Bank
wb_past_year_discrimination_sexual_orientation_o,Discrimination,Discriminated against in the past year because of sexual orientation or gender identity (World Bank),% of respondents interviewed who say they were discriminated against in the past year because of sexual orientation or gender identity,Respondents interviewed who answered yes or no on this ground,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,World Bank,,,respondent,respondent,World Bank
wb_past_year_discrimination_disability_health,Discrimination,Discriminated against in the past year because of disability or health (World Bank),% of respondents interviewed who say they were discriminated against in the past year because of disability or health,Respondents interviewed who answered yes or no on this ground,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,World Bank,,,respondent,respondent,World Bank
wb_past_year_discrimination_another_reason,Discrimination,Discriminated against in the past year because of another reason (World Bank),% of respondents interviewed who say they were discriminated against in the past year because of another reason,Respondents interviewed who answered yes or no on this ground,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,World Bank,,,respondent,respondent,World Bank
wb_any_past_year_discrimination_any_ground,Discrimination,Discriminated against in the past year (any ground) (World Bank),"% of respondents interviewed who report discrimination or harassment in the past year on any ground (ethnicity/skin colour, gender, SOGI, age, religion, disability/health, migration, or another reason). Roma and non-Roma can both score this.",Respondents interviewed,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,World Bank,Yes,6,respondent,respondent,World Bank
wb_job_seeking_discrimination_past_5_years_among,Discrimination,Discrimination when looking for work in the past 5 years (any ground) (World Bank),"% of respondents interviewed who looked for work in the past 5 years and were discriminated against when looking for work on any ground (ethnicity/being Roma or other reasons such as gender, age, disability)",Respondents interviewed who were at risk of job-seeking discrimination,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,World Bank,,,respondent,respondent,World Bank
wb_at_work_discrimination_past_5_years_among_at_,Discrimination,Discrimination at work in the past 5 years (any ground) (World Bank),"% of respondents interviewed who had a job in the past 5 years and were discriminated against at work on any ground (ethnicity/being Roma or other reasons such as gender, age, disability)",Respondents interviewed who were at risk of workplace discrimination,individual,indweight_m3_final,binary,discrimination,Respondents interviewed,World Bank,,,respondent,respondent,World Bank
fra_matdepr4,Severe material deprivation (FRA Framework),Severe material deprivation (cannot afford ≥4 of 9 items) (FRA),% of household members living in a household that cannot afford at least 4 of 9 basic items (classic severe material deprivation),All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,FRA,,,person,household head,FRA
fra_matdepr4ch,Severe material deprivation (FRA Framework),Children under 18 in severe material deprivation (4 or more of 9 items) (FRA),% of household members under 18 in households that cannot afford at least 4 of 9 basic items,"All children in the surveyed households, who are aged 0–17",member,hhweight_final,binary,living conditions,All children in the surveyed households,FRA,,,person,household head,FRA
fra_si08_02,Severe material deprivation (FRA Framework),Cannot afford meal with meat/chicken/fish every second day (FRA),"% of household members living in a household that cannot afford a meal with meat, chicken or fish (or vegetarian equivalent) every second day",All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,FRA,,,person,household head,FRA
fra_hunger,Living conditions,Went to bed hungry in the past month (lack of money for food) (FRA),% of household members living in a household where someone went to bed hungry in the past month because there was not enough money for food,All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,FRA,,,person,household head,FRA
